time	V(2)	V(d1)	V(d2)
8.786310657823331e-003	2.598366e-005	9.827265e-003	4.767974e+000
8.796414796520666e-003	2.608422e-005	9.872749e-003	4.684529e+000
8.806518935218001e-003	2.618551e-005	9.916760e-003	4.598511e+000
8.816623073915335e-003	2.628753e-005	9.959299e-003	4.509921e+000
8.826727212612670e-003	2.639027e-005	1.000036e-002	4.418759e+000
8.900022960663093e-003	2.714060e-005	1.039460e-002	2.980256e+002
8.900593355589556e-003	2.714657e-005	1.045203e-002	1.990483e+002
8.901734145442481e-003	2.715850e-005	1.045504e-002	2.486427e+000
8.904015725148330e-003	2.718237e-005	1.046134e-002	2.773087e+000
8.935957841030228e-003	2.751880e-005	1.053850e-002	2.389038e+000
8.972463116323824e-003	2.790663e-005	1.060029e-002	1.927438e+000
9.045473666911016e-003	2.868595e-005	1.068601e-002	1.207951e+000
9.063726304557814e-003	2.888121e-005	1.070700e-002	4.229759e-001
9.064296699484277e-003	2.888732e-005	1.070726e-002	1.387385e-001
9.065437489337202e-003	2.889953e-005	1.070686e-002	-3.688900e-001
9.067719069043051e-003	2.892396e-005	1.070594e-002	-3.701750e-001
9.072282228454751e-003	2.897280e-005	1.070374e-002	-4.584063e-001
9.081408547278151e-003	2.907041e-005	1.069832e-002	-5.491605e-001
9.099661184924949e-003	2.926525e-005	1.068350e-002	-7.255492e-001
9.136166460218545e-003	2.965265e-005	1.063907e-002	-1.057848e+000
9.209177010805737e-003	3.041305e-005	1.050001e-002	-1.640538e+000
9.355198111980122e-003	3.185222e-005	1.009290e-002	-2.478323e+000
9.647240314328892e-003	3.456059e-005	8.731348e-003	-2.600401e+003
9.647382913060509e-003	3.456183e-005	8.607223e-003	-2.601471e+003
9.647668110523739e-003	3.456422e-005	8.359390e-003	-1.735030e+003
9.648238505450203e-003	3.456898e-005	8.357490e-003	-3.136086e+000
9.649379295303127e-003	3.457851e-005	8.353472e-003	-3.524472e+000
9.659483434000462e-003	3.466253e-005	8.318135e-003	-3.488143e+000
9.669587572697796e-003	3.474601e-005	8.283570e-003	-3.449724e+000
9.679691711395131e-003	3.482896e-005	8.249778e-003	-3.409214e+000
9.689795850092466e-003	3.491138e-005	8.216759e-003	-3.366614e+000
9.699899988789801e-003	3.499326e-005	8.184511e-003	-3.321924e+000
9.710004127487135e-003	3.507461e-005	8.153037e-003	-3.275143e+000
9.720108266184470e-003	3.515542e-005	8.122334e-003	-3.226271e+000
9.793404014234893e-003	3.573763e-005	7.821044e-003	-2.328056e+002
9.795115199014281e-003	3.575093e-005	7.773639e-003	-2.057190e+000
9.797396778720130e-003	3.576865e-005	7.768409e-003	-2.299913e+000
9.829338894602028e-003	3.601483e-005	7.701860e-003	-2.067500e+000
9.865844169895624e-003	3.629292e-005	7.642579e-003	-1.776307e+000
9.939139917946047e-003	3.684735e-005	7.521295e-003	-7.721011e+001
9.939710312872510e-003	3.685163e-005	7.506574e-003	-5.135182e+001
9.940851102725435e-003	3.686019e-005	7.506246e-003	-2.753161e-001
9.943132682431284e-003	3.687732e-005	7.505615e-003	-2.882047e-001
9.956822160666384e-003	3.698004e-005	7.503750e-003	-1.444778e-001
9.975074798313182e-003	3.711711e-005	7.506609e-003	5.463130e-002
1.001172267233839e-002	3.739265e-005	7.531603e-003	5.523381e+001
1.001257826472809e-002	3.739910e-005	7.537604e-003	9.452916e-001
1.001371905458101e-002	3.740770e-005	7.538847e-003	1.080214e+000
1.002969011252196e-002	3.752841e-005	7.559851e-003	1.333461e+000
1.004794275016876e-002	3.766731e-005	7.591823e-003	1.613844e+000
1.008444802546236e-002	3.794954e-005	7.679507e-003	2.145680e+000
1.015774377351278e-002	3.852566e-005	8.014157e-003	3.068538e+002
1.015845676717086e-002	3.853142e-005	8.075319e-003	9.953752e+000
1.015874196463409e-002	3.853372e-005	8.076943e-003	7.825405e+000
1.015931235956055e-002	3.853833e-005	8.079250e-003	3.804567e+000
1.016045314941348e-002	3.854755e-005	8.084154e-003	4.291847e+000
1.020184752407675e-002	3.888736e-005	8.285953e-003	4.732068e+000
1.024324189874003e-002	3.924543e-005	8.502882e-003	5.122705e+000
1.028463627340330e-002	3.962175e-005	8.734941e-003	5.463759e+000
1.032603064806657e-002	4.001633e-005	8.982131e-003	5.755228e+000
1.036742502272985e-002	4.042917e-005	9.244451e-003	5.997113e+000
1.040881939739312e-002	4.086027e-005	9.521902e-003	6.189414e+000
1.045021377205640e-002	4.130963e-005	9.814483e-003	6.332131e+000
1.074225597440517e-002	4.466280e-005	1.249167e-002	4.729891e+003
1.074239857313678e-002	4.466458e-005	1.271745e-002	4.731688e+003
1.074268377060001e-002	4.466834e-005	1.316809e-002	3.155390e+003
1.074325416552648e-002	4.467585e-005	1.317121e-002	5.148993e+000
1.074439495537940e-002	4.469089e-005	1.317780e-002	5.784226e+000
1.075449909407674e-002	4.482468e-005	1.323554e-002	5.701157e+000
1.076460323277407e-002	4.495932e-005	1.329166e-002	5.615135e+000
1.077470737147141e-002	4.509481e-005	1.334615e-002	5.526160e+000
1.078481151016874e-002	4.523114e-005	1.339901e-002	5.434232e+000
